,Pokemon,Tipo
194,Elekid,12
195,Elgyem,3
196,Emboar,0
197,Emolga,12
198,Empoleon,1
199,Entei,0
200,Escavalier,4
201,Espeon,3
202,Espurr,3
203,Excadrill,7
204,Exeggcute,2
205,Exeggutor,2
206,Exploud,6
207,Farfetch'd,11
208,Fearow,11
209,Feebas,10
210,Fennekin,0
211,Feraligatr,1
212,Ferroseed,7
213,Ferrothorn,2
214,Finneon,10
215,Flaaffy,12
216,Flabebe,2
217,Flareon,0
218,Fletchinder,0
219,Fletchling,11
220,Floatzel,10
221,Floette,2
222,Floette-Eternal,2
223,Florges,2
224,Flygon,9
225,Foongus,2
226,Forretress,7
227,Fraxure,9
228,Frillish,10
229,Froakie,1
230,Frogadier,1
231,Froslass,16
232,Furfrou,6
233,Furret,6
234,Gabite,9
235,Gallade,3
236,Galvantula,4
237,Garbodor,17
238,Gardevoir,3
239,Gastly,15
240,Gastrodon,1
241,Genesect,4
242,Gengar,15
243,Geodude,7
244,Gible,9
245,Gigalith,7
246,Girafarig,3
247,Giratina,9
248,Giratina-Origin,9
249,Glaceon,16
250,Glalie,16
251,Glameow,15
252,Gligar,7
253,Gliscor,7
254,Gloom,2
255,Gogoat,2
256,Golbat,11
257,Goldeen,10
258,Golduck,10
259,Golem,7
260,Golett,13
261,Golurk,7
262,Goodra,9
263,Goomy,9
264,Gorebyss,10
265,Gothita,3
266,Gothitelle,3
267,Gothorita,3
268,Gourgeist,2
269,Gourgeist-Large,14
270,Gourgeist-Small,14
271,Gourgeist-Super,14
272,Granbull,6
273,Graveler,7
274,Greninja,1
275,Grimer,6
276,Grotle,2
277,Grovyle,2
278,Growlithe,0
279,Grumpig,3
280,Gulpin,6
281,Gurdurr,13
282,Gyarados,9
283,Happiny,17
284,Hariyama,13
285,Haunter,15
286,Hawlucha,13
287,Haxorus,9
288,Heatmor,0
289,Heliolisk,12
290,Helioptile,12
291,Heracross,13
292,Herdier,6
293,Hippopotas,7
294,Hippowdon,7
295,Hitmonchan,13
296,Hitmonlee,13
297,Hitmontop,13
298,Honchkrow,11
299,Honedge,17
300,Ho-Oh,11
301,Hoopa,3
302,Hoopa-Unbound,3
303,Hoothoot,11
304,Hoppip,2
305,Horsea,10
306,Houndoom,15
307,Houndour,15
308,Huntail,10
309,Hydreigon,9
310,Hypno,3
311,Igglybuff,17
312,Illumise,4
313,Inkay,15
314,Ivysaur,2
315,Jellicent,10
316,Jigglypuff,6
317,Jirachi,3
318,Jolteon,12
319,Joltik,4
320,Jumpluff,2
321,Jynx,3
322,Kabuto,1
323,Kabutops,1
324,Kadabra,3
325,Kakuna,5
326,Kangaskhan,13
327,Karrablast,4
328,Kecleon,6
329,Keldeo,1
330,Kingdra,10
331,Kingler,1
332,Kirlia,3
333,Klang,12
334,Klefki,8
335,Klink,12
336,Klinklang,12
337,Koffing,15
338,Krabby,1
339,Kricketot,5
340,Kricketune,4
341,Krokorok,15
342,Krookodile,15
343,Kyogre,10
344,Kyurem,9
345,Kyurem-Black,9
346,Kyurem-White,9
347,Lairon,7
348,Lampent,0
349,Landorus,7
350,Landorus-Therian,7
351,Lanturn,10
352,Lapras,10
353,Larvesta,0
354,Larvitar,7
355,Latias,3
356,Latios,3
357,Leafeon,2
358,Leavanny,4
359,Ledian,4
360,Ledyba,4
361,Lickilicky,6
362,Lickitung,6
363,Liepard,15
364,Lileep,2
365,Lilligant,2
366,Lillipup,6
367,Linoone,6
368,Litleo,0
369,Litwick,0
370,Lombre,10
371,Lopunny,6
372,Lotad,2
373,Loudred,6
374,Lucario,13
375,Ludicolo,10
376,Lugia,17
377,Lumineon,10
378,Lunatone,3
379,Luvdisc,10
380,Luxio,12
381,Luxray,12
382,Machamp,13
383,Machoke,13
384,Machop,13
385,Magby,0
386,Magcargo,7
387,Magikarp,10
388,Magmar,0
389,Magmortar,0
390,Magnemite,12
391,Magneton,12
392,Magnezone,12
393,Makuhita,13
394,Malamar,15
395,Mamoswine,16
396,Manaphy,10
397,Mandibuzz,11
398,Manectric,12
399,Mankey,13
400,Mantine,10
401,Mantyke,10
402,Maractus,2
403,Mareep,12
404,Marill,10
405,Marowak,7
406,Marshtomp,1
407,Masquerain,4
408,Mawile,6
409,Medicham,3
410,Meditite,3
411,Meganium,2
412,Meloetta,3
413,Meowstic-F,3
414,Meowstic-M,3
415,Meowth,15
416,Metagross,17
417,Metang,17
418,Metapod,5
419,Mew,17
420,Mewtwo,3
421,Mienfoo,13
422,Mienshao,13
423,Mightyena,15
424,Milotic,10
425,Miltank,13
426,Mime Jr.,3
427,Minccino,6
428,Minun,12
429,Misdreavus,15
430,Mismagius,15
431,Moltres,11
432,Monferno,0
433,Mothim,4
434,Mr. Mime,3
435,Mudkip,1
436,Muk,6
437,Munchlax,6
438,Munna,3
439,Murkrow,11
440,Musharna,3
441,Natu,3
442,Nidoking,6
443,Nidoqueen,6
444,Nidoran-F,6
445,Nidoran-M,6
446,Nidorina,6
447,Nidorino,6
448,Nincada,4
449,Ninetales,0
450,Ninjask,4
451,Noctowl,11
452,Noibat,11
453,Noivern,11
454,Nosepass,7
455,Numel,0
456,Nuzleaf,2
457,Octillery,10
458,Oddish,2
459,Omanyte,1
460,Omastar,1
461,Onix,7
462,Oshawott,10
463,Pachirisu,12
464,Palkia,9
465,Palpitoad,1
466,Pancham,13
467,Pangoro,13
468,Panpour,1
469,Pansage,2
470,Pansear,0
471,Paras,2
472,Parasect,2
473,Patrat,6
474,Pawniard,15
475,Pelipper,10
476,Persian,15
477,Petilil,2
478,Phanpy,7
479,Phantump,2
480,Phione,10
481,Pichu,12
482,Pidgeot,11
483,Pidgeotto,11
484,Pidgey,11
485,Pidove,11
486,Pignite,0
487,Pikachu,12
488,Piloswine,16
489,Pineco,7
490,Pinsir,13
491,Piplup,10
492,Plusle,12
493,Politoed,10
494,Poliwag,10
495,Poliwhirl,10
496,Poliwrath,1
497,Ponyta,0
498,Poochyena,15
499,Porygon,3
500,Porygon2,3
501,Porygon-Z,3
502,Primeape,13
503,Prinplup,10
504,Probopass,7
505,Psyduck,10
506,Pumpkaboo,2
507,Pumpkaboo-Large,14
508,Pumpkaboo-Small,14
509,Pumpkaboo-Super,14
510,Pupitar,7
511,Purrloin,15
512,Purugly,15
513,Pyroar,0
514,Quagsire,1
515,Quilava,0
516,Quilladin,2
517,Qwilfish,10
518,Raichu,12
519,Raikou,12
520,Ralts,3
521,Rampardos,7
522,Rapidash,0
523,Raticate,6
524,Rattata,6
525,Regice,13
526,Regigigas,7
527,Regirock,7
528,Registeel,7
529,Relicanth,1
530,Remoraid,10
531,Reshiram,9
532,Reuniclus,3
533,Rhydon,7
534,Rhyhorn,7
535,Rhyperior,7
536,Riolu,13
537,Roggenrola,7
538,Roselia,2
539,Roserade,2
540,Rotom,12
541,Rotom-Fan,12
542,Rotom-Frost,12
543,Rotom-Heat,12
544,Rotom-Mow,12
545,Rotom-Wash,12
546,Rufflet,11
547,Sableye,15
548,Salamence,9
549,Samurott,10
550,Sandile,15
551,Sandshrew,7
552,Sandslash,7
553,Sawk,13
554,Sawsbuck,2
555,Scatterbug,5
556,Sceptile,2
557,Scizor,4
558,Scolipede,4
559,Scrafty,13
560,Scraggy,13
561,Scyther,4
562,Seadra,10
563,Seaking,10
564,Sealeo,1
565,Seedot,2
566,Seel,10
567,Seismitoad,1
568,Sentret,6
569,Serperior,2
570,Servine,2
571,Seviper,15
572,Sewaddle,4
573,Sharpedo,1
574,Shaymin,2
575,Shaymin-Sky,2
576,Shedinja,4
577,Shelgon,9
578,Shellder,10
579,Shellos,10
580,Shelmet,4
581,Shieldon,7
582,Shiftry,2
583,Shinx,12
584,Shroomish,2
585,Shuckle,7
586,Shuppet,15
587,Sigilyph,3
588,Silcoon,5
589,Simipour,1
590,Simisage,2
591,Simisear,0
592,Skarmory,11
593,Skiddo,2
594,Skiploom,2
595,Skitty,6
596,Skorupi,15
597,Skrelp,10
598,Skuntank,15
599,Slaking,13
600,Slakoth,6
601,Sliggoo,9
602,Slowbro,17
603,Slowking,17
604,Slowpoke,3
605,Slugma,0
606,Slurpuff,8
607,Smeargle,14
608,Smoochum,3
609,Sneasel,15
610,Snivy,2
611,Snorlax,6
612,Snorunt,16
613,Snover,2
614,Snubbull,6
615,Solosis,3
616,Solrock,17
617,Spearow,11
618,Spewpa,5
619,Spheal,1
620,Spinarak,4
621,Spinda,3
622,Spiritomb,15
623,Spoink,3
624,Spritzee,8
625,Squirtle,10
626,Stantler,3
627,Staraptor,11
628,Staravia,11
629,Starly,11
630,Starmie,10
631,Staryu,10
632,Steelix,7
633,Steelix-Mega,7
634,Stoutland,6
635,Stunfisk,1
636,Stunky,15
637,Sudowoodo,7
638,Suicune,10
639,Sunflora,2
640,Sunkern,2
641,Surskit,10
642,Swablu,11
643,Swadloon,4
644,Swalot,6
645,Swampert,1
646,Swanna,11
647,Swellow,11
648,Swinub,16
649,Swirlix,8
650,Swoobat,3
651,Sylveon,8
652,Taillow,11
653,Talonflame,0
654,Tangela,2
655,Tangrowth,2
656,Tauros,17
657,Teddiursa,13
658,Tentacool,10
659,Tentacruel,10
660,Tepig,0
661,Terrakion,7
662,Throh,13
663,Thundurus,12
664,Thundurus-Therian,12
665,Timburr,13
666,Tirtouga,1
667,Togekiss,8
668,Togepi,3
669,Togetic,8
670,Torchic,0
671,Torkoal,0
672,Tornadus,15
673,Tornadus-Therian,15
674,Torterra,2
675,Totodile,1
676,Toxicroak,13
677,Tranquill,11
678,Trapinch,7
679,Treecko,2
680,Trevenant,2
681,Tropius,2
682,Trubbish,6
683,Turtwig,2
684,Tympole,10
685,Tynamo,12
686,Typhlosion,0
687,Tyranitar,6
688,Tyrantrum,9
689,Tyrogue,13
690,Tyrunt,9
691,Umbreon,15
692,Unfezant,11
693,Unown,17
694,Ursaring,13
695,Uxie,3
696,Vanillish,16
697,Vanillite,16
698,Vanilluxe,16
699,Vaporeon,10
700,Venipede,4
701,Venomoth,4
702,Venonat,4
703,Venusaur,2
704,Vespiquen,4
705,Vibrava,9
706,Victini,0
707,Victreebel,2
708,Vigoroth,13
709,Vileplume,2
710,Virizion,2
711,Vivillon,4
712,Volbeat,4
713,Volcanion,0
714,Volcarona,4
715,Voltorb,12
716,Vullaby,11
717,Vulpix,0
718,Wailmer,10
719,Wailord,10
720,Walrein,1
721,Wartortle,10
722,Watchog,6
723,Weavile,15
724,Weedle,5
725,Weepinbell,2
726,Weezing,15
727,Whimsicott,2
728,Whirlipede,4
729,Whiscash,1
730,Whismur,6
731,Wigglytuff,6
732,Wingull,11
733,Wobbuffet,8
734,Woobat,3
735,Wooper,1
736,Wormadam,2
737,Wormadam-Sandy,7
738,Wormadam-Trash,4
739,Wurmple,5
740,Wynaut,8
741,Xatu,3
742,Yamask,3
743,Yanma,4
744,Yanmega,4
745,Yveltal,11
746,Zangoose,13
747,Zapdos,11
748,Zebstrika,12
749,Zekrom,9
750,Zigzagoon,6
751,Zoroark,15
752,Zorua,15
753,Zubat,11
754,Zweilous,9
755,Zygarde,9
