,Pokemon,fire,water,grass,electric,ice,fighting,poison,ground,flying,psychic,bug,rock,ghost,dragon,dark,steel,fairy,Tipo 1,Tipo 2,Primer_Cluster
19,Arceus-Bug,11,13,8,7,10,6,10,8,7,19,6,13,6,11,9,6,0,psychic,rock,1
20,Arceus-Dark,11,13,8,7,10,6,10,8,7,19,6,13,6,11,9,6,0,psychic,rock,1
21,Arceus-Dragon,11,13,8,7,10,6,10,8,7,19,6,13,6,11,9,6,0,psychic,rock,1
22,Arceus-Electric,11,13,8,7,10,6,10,8,7,19,6,13,6,11,9,6,0,psychic,rock,1
23,Arceus-Fairy,11,13,8,7,10,6,10,8,7,19,6,13,6,11,9,6,0,psychic,rock,1
24,Arceus-Fighting,11,13,8,7,10,6,10,8,7,19,6,13,6,11,9,6,0,psychic,rock,1
25,Arceus-Fire,11,13,8,7,10,6,10,8,7,19,6,13,6,11,9,6,0,psychic,rock,1
26,Arceus-Flying,11,13,8,7,10,6,10,8,7,19,6,13,6,11,9,6,0,psychic,rock,1
27,Arceus-Ghost,11,13,8,7,10,6,10,8,7,19,6,13,6,11,9,6,0,psychic,rock,1
28,Arceus-Grass,11,13,8,7,10,6,10,8,7,19,6,13,6,11,9,6,0,psychic,rock,1
29,Arceus-Ground,11,13,8,7,10,6,10,8,7,19,6,13,6,11,9,6,0,psychic,rock,1
30,Arceus-Ice,11,13,8,7,10,6,10,8,7,19,6,13,6,11,9,6,0,psychic,rock,1
31,Arceus-Poison,11,13,8,7,10,6,10,8,7,19,6,13,6,11,9,6,0,psychic,rock,1
32,Arceus-Psychic,11,13,8,7,10,6,10,8,7,19,6,13,6,11,9,6,0,psychic,rock,1
33,Arceus-Rock,11,13,8,7,10,6,10,8,7,19,6,13,6,11,9,6,0,psychic,rock,1
34,Arceus-Steel,11,13,8,7,10,6,10,8,7,19,6,13,6,11,9,6,0,psychic,rock,1
35,Arceus-Water,11,13,8,7,10,6,10,8,7,19,6,13,6,11,9,6,0,psychic,rock,1
36,Archen,3,3,2,2,3,4,5,7,12,6,3,18,3,8,9,6,0,rock,flying,16
37,Archeops,3,3,2,2,3,5,5,7,14,6,3,18,3,11,9,6,0,rock,flying,16
38,Ariados,3,2,4,3,3,2,23,3,3,7,18,2,4,2,8,2,0,poison,bug,0
39,Armaldo,3,9,2,3,2,7,8,10,3,3,9,17,4,2,4,6,0,rock,ground,16
40,Aromatisse,3,3,4,5,5,4,5,3,2,14,2,2,3,3,3,4,10,psychic,fairy,15
41,Aron,3,5,2,4,2,5,5,8,3,3,3,15,6,4,3,10,0,rock,steel,16
42,Articuno,3,6,2,2,16,3,5,3,15,6,4,5,3,3,2,4,0,ice,flying,7
43,Audino,9,4,5,8,12,6,5,6,3,20,3,2,3,3,5,3,6,psychic,ice,15
44,Aurorus,2,7,2,8,16,3,5,6,2,12,2,16,2,5,4,6,0,ice,rock,1
45,Avalugg,2,6,2,2,15,4,5,4,2,5,2,10,4,2,4,6,0,ice,rock,1
46,Axew,4,4,2,3,3,6,8,3,3,3,3,5,2,13,8,3,0,dragon,dark,12
47,Azelf,9,5,5,8,5,4,5,4,3,23,4,5,3,2,8,3,1,psychic,fire,3
48,Azumarill,3,25,4,2,10,10,5,5,3,6,2,4,2,2,5,3,2,water,fighting,4
49,Azurill,3,20,2,2,8,2,5,3,3,4,2,3,2,2,4,3,1,water,ice,4
50,Bagon,10,4,2,2,3,4,5,3,3,4,3,7,3,17,5,3,0,dragon,fire,12
51,Baltoy,3,3,5,3,4,2,5,11,3,28,3,13,3,2,2,3,1,psychic,rock,3
52,Banette,4,3,3,7,4,3,7,4,2,15,3,2,18,2,16,2,1,ghost,dark,2
53,Barbaracle,3,14,4,2,7,10,12,9,3,3,5,15,3,4,11,3,0,rock,water,16
54,Barboach,3,19,2,4,7,2,5,11,3,5,2,5,2,4,2,2,0,water,ground,4
55,Basculin,2,19,2,2,6,5,5,3,3,5,2,2,2,2,5,2,0,water,ice,4
56,Bastiodon,7,3,2,6,7,4,5,10,2,5,2,18,4,3,4,9,0,rock,ground,16
57,Bayleef,3,3,27,2,3,4,8,4,2,7,3,4,2,2,2,3,0,grass,poison,6
58,Beartic,2,9,4,2,16,10,5,4,3,3,2,8,3,2,7,2,2,ice,fighting,1
59,Beautifly,3,2,8,3,2,2,10,2,11,5,14,2,4,3,3,3,0,bug,flying,5
60,Beedrill,3,2,4,3,3,4,18,3,10,4,15,3,3,2,7,3,0,poison,bug,5
61,Beheeyem,2,3,3,6,3,2,5,4,3,34,3,6,4,2,9,4,0,psychic,dark,3
62,Beldum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,steel,psychic,8
63,Bellossom,3,2,26,2,2,3,14,3,2,3,3,2,2,2,3,2,4,grass,poison,6
64,Bellsprout,3,2,18,2,2,2,17,2,2,4,4,2,2,2,5,2,0,grass,poison,6
65,Bergmite,2,6,2,2,15,3,5,2,2,5,2,10,4,2,3,5,0,ice,rock,1
66,Bibarel,4,16,5,7,7,6,5,6,3,4,3,7,6,2,5,3,0,water,ice,4
67,Bidoof,4,6,4,7,7,5,5,4,3,4,3,7,6,2,4,3,0,ice,rock,1
68,Binacle,3,14,4,2,7,6,12,8,3,3,5,15,3,2,11,3,0,rock,water,16
69,Bisharp,2,3,4,4,4,10,8,4,3,5,4,11,4,3,20,7,0,dark,rock,2
70,Blastoise,3,27,3,3,12,12,5,8,2,5,3,10,3,7,6,6,0,water,fighting,4
71,Blaziken,22,3,4,3,5,19,8,7,10,5,3,9,5,3,6,2,0,fire,fighting,9
72,Blissey,9,5,6,9,12,11,5,7,3,13,2,12,3,2,4,3,3,psychic,rock,1
73,Blitzle,3,3,2,14,3,3,5,4,3,5,3,2,2,2,4,2,0,electric,psychic,11
74,Boldore,2,2,2,2,2,3,5,10,3,4,2,18,4,2,2,6,0,rock,ground,16
75,Bonsly,3,2,2,2,2,5,5,6,2,5,2,15,4,2,7,2,0,rock,dark,16
76,Bouffalant,3,4,2,3,2,6,9,6,3,5,3,9,2,3,5,3,0,poison,rock,16
77,Braixen,18,4,6,4,3,4,5,2,2,16,2,2,2,2,6,3,0,fire,psychic,9
78,Braviary,4,3,2,2,2,5,5,2,16,4,3,7,3,2,3,4,0,flying,rock,7
79,Breloom,3,2,16,3,2,19,12,3,3,3,3,8,2,2,5,3,1,fighting,grass,14
80,Bronzong,3,3,5,3,2,3,5,6,3,24,3,14,4,2,4,8,0,psychic,rock,3
81,Bronzor,3,3,5,3,2,2,5,6,3,23,3,13,4,2,4,7,0,psychic,rock,3
82,Budew,4,5,20,2,2,2,9,4,2,4,3,2,3,2,2,2,1,grass,poison,6
83,Buizel,3,22,2,2,11,8,5,4,2,4,3,5,3,2,4,3,0,water,ice,4
84,Bulbasaur,3,3,29,2,3,3,14,4,2,5,4,3,4,2,3,2,1,grass,poison,6
85,Buneary,5,5,5,8,8,11,5,5,4,7,2,3,4,2,5,3,3,fighting,electric,1
86,Bunnelby,2,3,4,3,4,8,7,9,3,4,3,11,3,2,6,4,0,rock,ground,16
87,Burmy,2,2,2,3,2,2,2,2,2,2,5,2,2,2,2,2,0,bug,electric,5
88,Butterfree,3,3,7,3,2,2,10,2,11,9,15,2,5,3,3,3,0,bug,flying,5
89,Cacnea,3,2,20,3,2,10,15,6,2,4,5,3,4,2,10,2,0,grass,poison,14
90,Cacturne,3,2,21,3,2,13,15,6,2,4,5,3,4,2,12,2,0,grass,poison,14
91,Camerupt,15,2,3,2,3,3,5,10,2,4,2,15,4,2,2,4,1,fire,rock,16
92,Carbink,3,2,2,3,3,2,5,6,3,14,2,17,2,2,2,4,2,rock,psychic,16
93,Carnivine,3,2,22,2,2,2,8,3,2,3,7,2,2,2,9,2,0,grass,dark,6
94,Carracosta,2,18,2,2,6,6,5,7,2,5,2,19,4,2,5,5,0,rock,water,4
95,Carvanha,2,14,2,2,10,2,8,3,3,5,3,3,4,2,12,2,0,water,dark,4
96,Cascoon,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,1,0,poison,bug,0
97,Castform,8,9,4,6,9,2,6,2,4,7,2,3,5,2,3,2,0,water,ice,1
98,Caterpie,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,bug,electric,0
99,Celebi,3,5,13,5,3,2,5,4,3,20,5,6,4,2,5,2,1,psychic,grass,3
100,Chandelure,16,2,4,3,3,2,10,3,2,12,2,2,10,2,9,2,0,fire,psychic,9
101,Chansey,9,5,6,9,11,10,5,7,3,13,2,12,3,2,4,3,3,psychic,rock,1
102,Charmander,24,3,3,3,3,9,5,4,5,3,3,8,3,13,7,4,0,fire,dragon,9
103,Charmeleon,24,3,3,3,3,9,5,4,5,3,3,8,3,13,7,4,0,fire,dragon,9
104,Chatot,4,3,2,2,5,2,5,3,16,6,3,2,4,3,6,4,0,flying,dark,7
105,Cherrim,3,2,20,2,2,2,5,2,2,5,2,3,2,2,2,2,2,grass,psychic,6
106,Cherubi,3,2,19,2,2,2,5,2,2,5,2,3,2,2,2,2,2,grass,psychic,6
107,Chesnaught,3,3,19,3,3,14,10,8,3,5,3,10,5,5,7,6,0,grass,fighting,14
108,Chespin,3,3,16,3,3,12,10,7,3,5,3,10,5,3,6,6,0,grass,fighting,14
109,Chikorita,3,3,27,2,3,3,8,4,2,7,3,3,2,2,2,3,0,grass,poison,6
110,Chimchar,20,3,5,3,4,14,7,4,4,4,3,7,3,2,7,3,0,fire,fighting,9
111,Chimecho,3,3,5,5,6,2,5,4,3,27,3,3,7,2,6,2,1,psychic,ghost,3
112,Chinchou,2,20,2,16,8,2,5,2,3,6,3,2,3,2,3,2,1,water,electric,4
113,Chingling,3,3,4,5,6,2,5,4,3,22,3,3,6,2,6,2,1,psychic,ghost,3
114,Cinccino,3,4,6,6,4,4,7,4,2,5,3,4,2,2,6,3,3,poison,electric,1
115,Clamperl,2,18,2,3,7,2,5,3,2,4,2,2,3,2,2,3,0,water,ice,4
116,Clauncher,3,21,2,2,6,2,11,3,3,3,3,5,2,4,2,4,0,water,poison,4
117,Clawitzer,3,21,2,2,6,4,11,3,3,4,3,5,3,4,4,4,0,water,poison,4
118,Claydol,3,3,5,3,4,3,5,11,3,29,3,15,3,2,2,3,1,psychic,rock,3
119,Clefairy,9,5,7,8,11,11,5,7,4,22,3,6,4,3,6,4,7,psychic,fighting,15
120,Cleffa,7,5,7,4,5,4,5,7,3,19,3,3,4,3,4,3,3,psychic,fire,3
121,Cloyster,2,15,2,2,16,2,11,4,2,4,4,4,2,2,4,3,0,ice,water,4
122,Cobalion,2,2,2,5,3,9,8,3,4,6,3,9,2,2,4,7,0,fighting,rock,10
123,Cofagrigus,3,3,5,3,3,2,7,3,2,20,3,2,13,2,12,3,0,psychic,ghost,3
124,Combee,0,0,0,0,0,0,0,1,3,0,5,0,1,0,0,0,0,bug,flying,5
125,Combusken,20,3,3,3,5,17,8,5,8,4,3,7,5,3,5,2,0,fire,fighting,9
126,Conkeldurr,5,3,4,3,4,22,8,6,2,3,2,12,3,2,6,2,0,fighting,rock,10
127,Corphish,3,17,2,3,9,6,7,5,3,3,4,8,3,4,10,4,0,water,dark,4
128,Corsola,3,12,3,3,9,3,5,8,2,12,2,19,6,2,3,3,0,rock,psychic,16
129,Cottonee,3,2,18,2,2,2,8,2,3,4,2,2,2,2,8,2,4,grass,dark,6
130,Cradily,3,3,13,2,2,3,11,7,2,6,4,15,6,2,2,2,0,rock,grass,14
131,Cranidos,9,3,2,6,5,6,5,8,2,4,2,17,5,4,8,4,0,rock,fire,16
132,Crawdaunt,3,18,2,3,10,6,9,5,3,3,4,8,3,4,13,4,0,water,dark,4
133,Cresselia,3,3,6,4,7,2,5,5,3,23,4,2,3,2,2,2,2,psychic,ice,3
134,Croagunk,3,3,2,3,7,18,20,7,3,5,4,8,5,3,18,3,0,poison,dark,10
135,Crobat,4,3,3,2,4,3,17,2,17,5,5,2,8,3,13,4,0,flying,poison,7
136,Croconaw,4,21,3,3,11,11,5,5,3,3,3,8,4,6,8,4,0,water,fighting,4
137,Crustle,2,3,4,2,2,4,8,10,3,3,8,19,5,2,6,3,0,rock,ground,16
138,Cryogonal,2,6,3,2,15,2,9,2,3,6,3,2,3,2,4,4,0,ice,poison,1
139,Cubchoo,2,7,4,2,15,7,5,3,3,3,2,5,3,2,6,2,2,ice,fighting,1
140,Cubone,9,2,2,3,9,12,5,11,3,3,3,13,2,2,5,5,1,rock,fighting,16
141,Cyndaquil,21,3,3,3,3,5,5,4,3,4,2,3,3,2,2,2,0,fire,poison,9
142,Darkrai,5,3,2,7,8,8,10,3,3,10,3,8,9,4,20,2,0,dark,psychic,2
143,Darmanitan,17,2,5,2,3,10,5,6,2,6,3,10,2,2,8,3,0,fire,fighting,9
144,Darumaka,17,2,5,2,2,8,5,3,2,4,3,8,2,2,6,3,0,fire,fighting,9
145,Dedenne,3,3,4,19,2,2,5,4,3,3,4,2,2,2,4,3,2,electric,poison,11
146,Deerling,3,3,14,4,4,5,5,3,3,5,2,2,4,2,4,2,1,grass,poison,14
147,Deino,6,4,2,5,7,4,5,3,2,4,2,4,4,14,10,2,0,dragon,dark,12
148,Delcatty,3,5,5,8,8,5,5,5,2,7,2,4,4,2,6,3,3,ice,electric,1
149,Delibird,2,6,3,2,17,7,7,4,8,4,3,3,3,2,4,2,0,ice,flying,1
150,Delphox,21,4,6,4,3,4,5,2,2,20,3,2,3,2,7,3,0,fire,psychic,9
151,Deoxys,5,5,6,9,9,15,8,6,4,27,3,9,5,2,11,5,0,psychic,fighting,3
152,Deoxys-Attack,5,5,6,9,9,15,8,6,4,27,3,9,5,2,11,5,0,psychic,fighting,3
153,Deoxys-Defense,5,5,6,9,9,15,8,6,4,27,3,9,5,2,11,5,0,psychic,fighting,3
154,Deoxys-Speed,5,5,6,9,9,15,8,6,4,27,3,9,5,2,11,5,0,psychic,fighting,3
155,Dewgong,3,16,2,2,15,2,6,3,2,3,3,2,3,2,4,3,0,water,ice,4
156,Dewott,4,21,5,2,7,5,5,3,4,3,4,3,2,2,6,3,0,water,ice,4
157,Dialga,8,3,2,7,7,6,5,8,4,6,3,13,3,14,3,8,0,dragon,rock,12
158,Diancie,3,2,2,3,3,2,5,6,3,13,2,17,2,2,2,4,2,rock,psychic,16
159,Diggersby,4,3,5,4,6,12,10,11,3,4,3,11,3,2,9,4,0,fighting,rock,10
160,Diglett,3,2,2,2,3,5,7,11,3,3,2,11,4,2,9,2,0,ground,rock,16
161,Ditto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fire,water,8
162,Dodrio,3,2,2,2,6,2,5,3,14,4,2,2,2,2,10,4,0,flying,dark,7
163,Doduo,3,2,2,2,5,2,5,3,14,4,2,2,2,2,7,4,0,flying,dark,7
164,Donphan,5,2,3,3,6,6,10,8,3,3,2,16,3,2,4,6,2,rock,poison,16
165,Doublade,2,3,2,4,2,5,5,3,3,5,3,6,6,2,4,8,0,steel,rock,16
166,Dragalge,2,15,2,5,5,3,22,2,3,3,2,2,3,9,3,3,1,poison,water,13
167,Dragonair,7,11,2,6,9,2,5,2,2,5,2,2,2,17,2,3,0,dragon,water,12
168,Dragonite,10,12,2,7,11,9,5,5,13,6,3,9,3,19,4,6,0,dragon,flying,12
169,Drapion,5,4,2,3,6,4,27,7,3,4,12,8,4,2,17,3,0,poison,dark,13
170,Dratini,7,11,2,6,9,2,5,2,2,5,2,2,2,17,2,3,0,dragon,water,12
171,Drifblim,4,3,2,7,4,2,6,4,8,13,3,3,9,2,8,3,0,psychic,ghost,3
172,Drifloon,4,3,2,7,4,2,6,4,7,13,3,3,8,2,8,3,0,psychic,dark,3
173,Drilbur,2,2,2,3,2,5,10,10,3,3,3,11,3,2,4,5,0,rock,poison,16
174,Drowzee,5,3,4,4,5,11,8,3,2,27,3,2,4,2,10,2,1,psychic,fighting,3
175,Druddigon,10,5,2,6,3,7,12,6,3,3,2,11,3,12,17,6,0,dark,dragon,12
176,Ducklett,3,15,2,3,6,2,5,3,18,3,2,2,2,2,2,4,0,flying,water,7
177,Dugtrio,3,2,3,2,3,5,9,13,3,3,2,12,4,2,10,2,1,ground,rock,16
178,Dunsparce,7,6,3,8,5,4,9,7,5,8,2,11,9,2,5,4,0,rock,ghost,1
179,Duosion,2,3,3,5,2,2,6,4,3,23,4,7,6,2,4,5,1,psychic,rock,3
180,Durant,2,2,3,4,3,4,5,4,3,4,8,12,3,2,6,7,0,rock,bug,16
181,Dusclops,6,3,2,4,10,10,5,7,3,15,3,7,17,2,15,2,0,ghost,dark,2
182,Dusknoir,6,3,2,4,10,11,5,7,3,15,3,7,17,2,15,2,0,ghost,dark,2
183,Duskull,4,3,2,3,8,3,5,4,3,15,3,2,16,2,15,2,0,ghost,dark,2
184,Dustox,3,2,5,3,2,2,15,2,11,8,14,2,4,3,3,3,1,poison,bug,5
185,Dwebble,2,3,4,2,2,4,8,10,3,3,8,19,5,2,6,3,0,rock,ground,16
186,Eelektrik,2,4,3,13,2,2,9,3,4,4,4,2,2,2,4,4,0,electric,poison,11
187,Eelektross,5,4,5,16,2,8,9,3,4,4,4,7,2,9,5,4,0,electric,dragon,11
188,Eevee,3,3,2,2,4,3,5,5,2,5,2,2,5,2,4,3,2,ground,ghost,1
189,Ekans,3,4,4,2,4,2,30,6,2,3,3,6,3,2,13,3,0,poison,dark,13
190,Electabuzz,4,3,2,15,5,16,5,4,2,8,3,4,2,3,4,3,0,fighting,electric,11
191,Electivire,5,3,2,20,6,16,5,8,2,8,3,8,2,3,6,3,0,electric,fighting,11
192,Electrike,6,3,2,17,4,3,5,4,2,4,3,2,5,2,7,3,0,electric,dark,11
193,Electrode,2,3,2,17,3,2,5,3,2,6,3,3,2,2,7,3,0,electric,dark,11
194,Elekid,4,3,2,15,5,14,5,4,2,8,3,3,2,3,4,2,0,electric,fighting,11
195,Elgyem,2,3,3,6,3,2,5,4,3,34,3,6,4,2,9,4,0,psychic,dark,3
196,Emboar,19,4,6,4,3,14,10,7,2,4,2,11,5,2,6,6,0,fire,fighting,9
197,Emolga,2,3,2,19,2,2,5,2,9,5,4,2,3,2,6,3,1,electric,flying,11
198,Empoleon,4,22,5,3,11,4,5,7,8,4,4,10,3,2,6,7,0,water,ice,4
199,Entei,21,3,3,2,2,3,5,5,2,6,2,6,3,2,5,4,0,fire,rock,9
200,Escavalier,2,3,4,2,3,7,9,3,4,3,15,3,2,2,5,4,0,bug,poison,5
201,Espeon,3,3,4,2,4,3,5,6,2,23,3,2,6,2,4,3,3,psychic,ghost,3
202,Espurr,3,3,3,6,5,2,5,3,3,21,3,2,2,2,7,3,1,psychic,dark,3
203,Excadrill,2,2,3,4,2,6,10,12,3,3,3,11,3,2,4,6,0,ground,rock,16
204,Exeggcute,3,2,19,2,2,2,10,5,3,16,3,6,5,2,3,2,1,grass,psychic,14
205,Exeggutor,3,2,20,2,2,3,10,5,3,18,3,6,5,2,3,2,1,grass,psychic,14
206,Exploud,12,7,3,5,15,12,5,6,2,6,2,10,4,3,8,2,1,ice,fire,1
207,Farfetch'd,4,2,3,2,2,4,8,4,19,4,4,2,6,3,5,5,0,flying,poison,7
208,Fearow,4,3,2,2,3,2,5,4,16,4,3,2,4,3,6,4,0,flying,dark,7
209,Feebas,2,12,2,3,9,2,5,3,2,6,2,2,3,6,2,3,0,water,ice,4
210,Fennekin,16,4,6,2,3,3,5,2,2,12,2,2,2,2,5,3,0,fire,psychic,9
211,Feraligatr,4,21,3,3,12,12,5,7,3,4,3,9,4,11,8,4,0,water,fighting,4
212,Ferroseed,3,2,10,5,2,3,9,5,3,4,3,9,4,2,5,8,0,grass,rock,14
213,Ferrothorn,3,2,13,6,2,3,9,6,4,4,3,10,5,2,5,8,0,grass,rock,14
214,Finneon,2,18,2,2,8,2,5,2,7,5,5,2,3,3,3,2,2,water,ice,4
215,Flaaffy,4,3,4,21,3,10,5,5,2,6,3,4,4,2,4,3,0,electric,fighting,11
216,Flabebe,3,3,19,2,3,2,5,4,2,7,2,2,2,3,2,2,5,grass,psychic,6
217,Flareon,18,3,2,2,4,5,7,5,2,5,2,3,5,2,4,3,2,fire,poison,9
218,Fletchinder,12,2,2,2,2,3,5,2,10,4,3,2,2,2,5,4,0,fire,flying,9
219,Fletchling,6,2,2,2,2,3,5,2,10,4,3,2,2,2,5,4,0,flying,fire,7
220,Floatzel,3,22,2,2,14,10,5,4,2,4,3,5,3,2,8,3,0,water,ice,4
221,Floette,3,3,19,2,3,2,5,4,2,7,2,2,2,3,2,2,5,grass,psychic,6
222,Floette-Eternal,3,3,19,2,3,2,5,4,2,7,2,2,2,3,2,2,6,grass,psychic,6
223,Florges,3,3,20,2,4,2,5,4,2,8,2,2,2,3,2,2,7,grass,psychic,6
224,Flygon,10,2,4,3,2,5,5,11,11,3,12,9,3,15,6,5,0,dragon,bug,12
225,Foongus,3,3,15,2,2,2,14,2,2,3,3,3,3,2,5,2,0,grass,poison,6
226,Forretress,3,2,4,5,2,5,9,10,3,7,9,13,2,2,3,8,0,rock,ground,16
227,Fraxure,4,4,2,3,3,7,8,3,3,3,3,5,3,15,8,3,0,dragon,dark,12
228,Frillish,4,18,5,3,8,2,10,2,2,9,2,2,8,2,5,2,1,water,poison,4
229,Froakie,4,16,5,3,7,4,7,5,5,4,3,8,4,2,6,2,0,water,rock,4
230,Frogadier,4,16,5,3,9,5,9,5,5,4,3,8,4,2,8,2,0,water,poison,4
231,Froslass,2,5,2,6,17,3,5,5,2,9,3,3,9,2,13,2,0,ice,dark,2
232,Furfrou,3,4,5,5,4,4,5,4,2,5,3,3,3,2,7,3,2,dark,psychic,1
233,Furret,6,8,5,7,9,10,5,4,2,5,4,4,5,2,8,3,1,fighting,ice,1
234,Gabite,7,3,2,2,3,3,5,10,3,3,3,12,3,16,3,5,0,dragon,rock,12
235,Gallade,6,3,6,7,10,14,8,7,3,28,5,8,8,4,10,2,5,psychic,fighting,3
236,Galvantula,2,3,4,13,2,2,15,3,3,5,17,3,2,2,6,2,0,bug,poison,0
237,Garbodor,3,3,5,4,3,4,23,6,2,6,3,8,5,2,7,2,0,poison,rock,13
238,Gardevoir,6,3,6,7,9,3,5,5,2,28,3,2,8,3,8,2,6,psychic,ice,3
239,Gastly,6,3,4,4,7,2,14,3,2,13,3,2,15,2,13,2,1,ghost,poison,2
240,Gastrodon,2,14,2,3,8,4,13,10,2,5,4,10,4,2,3,2,0,water,poison,4
241,Genesect,5,2,5,10,5,2,7,4,5,10,14,4,3,2,5,9,0,bug,psychic,5
242,Gengar,6,3,4,5,7,11,17,3,2,14,3,3,17,2,14,2,1,poison,ghost,2
243,Geodude,9,2,2,4,2,11,5,10,2,3,2,22,4,2,4,5,0,rock,fighting,16
244,Gible,7,3,2,2,2,3,5,10,3,3,3,12,3,15,3,5,0,dragon,rock,12
245,Gigalith,2,2,3,2,2,4,5,10,3,4,2,18,4,2,2,7,0,rock,ground,16
246,Girafarig,3,3,5,7,6,6,5,7,3,25,3,3,7,2,9,3,1,psychic,dark,3
247,Giratina,4,4,3,7,5,4,5,8,8,11,4,6,10,13,6,6,0,dragon,psychic,12
248,Giratina-Origin,4,4,3,7,5,4,5,8,8,11,4,6,10,13,6,6,0,dragon,psychic,12
249,Glaceon,3,6,2,2,15,4,5,5,2,7,3,3,5,2,4,3,2,ice,psychic,1
250,Glalie,2,6,2,2,17,2,5,5,2,4,3,3,5,2,11,4,0,ice,dark,1
251,Glameow,3,5,2,5,5,3,5,5,3,5,4,2,4,2,15,3,2,dark,ground,2
252,Gligar,3,4,2,2,3,6,21,8,11,6,9,14,2,2,13,6,0,poison,rock,13
253,Gliscor,5,4,2,3,5,6,21,9,12,6,9,14,2,2,13,6,0,poison,rock,13
254,Gloom,3,2,23,2,2,3,14,3,2,3,3,2,2,2,3,2,4,grass,poison,6
255,Gogoat,3,4,15,3,2,6,5,5,4,4,2,6,2,2,3,3,0,grass,rock,14
256,Golbat,4,3,3,2,4,3,14,2,16,5,4,2,8,3,11,4,0,flying,poison,7
257,Goldeen,3,18,2,3,8,2,8,6,4,5,5,2,2,2,3,2,0,water,poison,4
258,Golduck,3,21,3,3,9,14,6,7,3,18,4,4,5,2,4,3,1,water,psychic,4
259,Golem,9,2,2,4,2,12,5,10,2,3,4,22,4,2,4,7,0,rock,fighting,16
260,Golett,4,3,4,4,7,13,5,9,3,8,3,12,8,2,4,4,0,fighting,rock,10
261,Golurk,4,3,5,6,7,13,5,9,4,9,3,13,9,2,4,6,0,fighting,rock,16
262,Goodra,9,9,4,6,6,7,13,4,2,3,3,5,4,10,2,3,0,poison,dragon,12
263,Goomy,3,8,3,4,2,3,13,2,2,3,3,4,4,8,2,3,0,poison,dragon,13
264,Gorebyss,3,22,2,3,8,2,6,4,3,9,4,2,4,2,2,3,1,water,psychic,4
265,Gothita,2,3,5,6,4,2,5,4,3,27,3,6,3,2,16,2,1,psychic,dark,3
266,Gothitelle,2,3,5,6,4,5,5,4,3,28,3,6,3,2,16,2,1,psychic,dark,3
267,Gothorita,2,3,5,6,4,2,5,4,3,28,3,6,3,2,16,2,1,psychic,dark,3
268,Gourgeist,9,2,13,3,2,4,7,2,2,12,2,5,11,2,6,3,0,grass,psychic,14
269,Gourgeist-Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fire,water,8
270,Gourgeist-Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fire,water,8
271,Gourgeist-Super,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fire,water,8
272,Granbull,12,5,3,9,8,14,7,6,2,4,2,9,4,3,12,3,3,fighting,fire,10
273,Graveler,9,2,2,4,2,11,5,10,2,3,2,22,4,2,4,5,0,rock,fighting,16
