,Pokemon,Segundo_Cluster
193,Electrode,11
194,Elekid,11
195,Elgyem,3
196,Emboar,7
197,Emolga,11
198,Empoleon,13
199,Entei,7
200,Escavalier,9
201,Espeon,3
202,Espurr,3
203,Excadrill,10
204,Exeggcute,2
205,Exeggutor,2
206,Exploud,4
207,Farfetch'd,6
208,Fearow,6
209,Feebas,13
210,Fennekin,7
211,Feraligatr,13
212,Ferroseed,10
213,Ferrothorn,2
214,Finneon,13
215,Flaaffy,11
216,Flabebe,2
217,Flareon,7
218,Fletchinder,7
219,Fletchling,6
220,Floatzel,13
221,Floette,2
222,Floette-Eternal,2
223,Florges,2
224,Flygon,8
225,Foongus,2
226,Forretress,10
227,Fraxure,8
228,Frillish,13
229,Froakie,13
230,Frogadier,13
231,Froslass,5
232,Furfrou,4
233,Furret,4
234,Gabite,8
235,Gallade,3
236,Galvantula,15
237,Garbodor,0
238,Gardevoir,3
239,Gastly,5
240,Gastrodon,1
241,Genesect,9
242,Gengar,5
243,Geodude,10
244,Gible,8
245,Gigalith,10
246,Girafarig,3
247,Giratina,8
248,Giratina-Origin,8
249,Glaceon,1
250,Glalie,1
251,Glameow,5
252,Gligar,0
253,Gliscor,0
254,Gloom,2
255,Gogoat,2
256,Golbat,6
257,Goldeen,13
258,Golduck,13
259,Golem,10
260,Golett,14
261,Golurk,10
262,Goodra,8
263,Goomy,0
264,Gorebyss,13
265,Gothita,3
266,Gothitelle,3
267,Gothorita,3
268,Gourgeist,2
269,Gourgeist-Large,16
270,Gourgeist-Small,16
271,Gourgeist-Super,16
272,Granbull,4
273,Graveler,10
274,Greninja,13
275,Grimer,0
276,Grotle,2
277,Grovyle,2
278,Growlithe,7
279,Grumpig,3
280,Gulpin,0
281,Gurdurr,14
282,Gyarados,8
283,Happiny,4
284,Hariyama,14
285,Haunter,5
286,Hawlucha,14
287,Haxorus,8
288,Heatmor,7
289,Heliolisk,11
290,Helioptile,11
291,Heracross,14
292,Herdier,4
293,Hippopotas,10
294,Hippowdon,10
295,Hitmonchan,14
296,Hitmonlee,14
297,Hitmontop,14
298,Honchkrow,6
299,Honedge,10
300,Ho-Oh,6
301,Hoopa,3
302,Hoopa-Unbound,3
303,Hoothoot,6
304,Hoppip,2
305,Horsea,13
306,Houndoom,5
307,Houndour,5
308,Huntail,13
309,Hydreigon,8
310,Hypno,3
311,Igglybuff,4
312,Illumise,9
313,Inkay,5
314,Ivysaur,2
315,Jellicent,13
316,Jigglypuff,4
317,Jirachi,3
318,Jolteon,11
319,Joltik,15
320,Jumpluff,2
321,Jynx,3
322,Kabuto,1
323,Kabutops,1
324,Kadabra,3
325,Kakuna,15
326,Kangaskhan,14
327,Karrablast,9
328,Kecleon,4
329,Keldeo,13
330,Kingdra,13
331,Kingler,1
332,Kirlia,3
333,Klang,11
334,Klefki,12
335,Klink,11
336,Klinklang,11
337,Koffing,0
338,Krabby,1
339,Kricketot,15
340,Kricketune,9
341,Krokorok,5
342,Krookodile,5
343,Kyogre,13
344,Kyurem,8
345,Kyurem-Black,8
346,Kyurem-White,8
347,Lairon,10
348,Lampent,7
349,Landorus,10
350,Landorus-Therian,10
351,Lanturn,13
352,Lapras,13
353,Larvesta,7
354,Larvitar,10
355,Latias,3
356,Latios,3
357,Leafeon,2
358,Leavanny,9
359,Ledian,9
360,Ledyba,9
361,Lickilicky,4
362,Lickitung,4
363,Liepard,5
364,Lileep,2
365,Lilligant,2
366,Lillipup,4
367,Linoone,4
368,Litleo,7
369,Litwick,7
370,Lombre,13
371,Lopunny,4
372,Lotad,2
373,Loudred,4
374,Lucario,14
375,Ludicolo,13
376,Lugia,8
377,Lumineon,13
378,Lunatone,3
379,Luvdisc,13
380,Luxio,11
381,Luxray,11
382,Machamp,14
383,Machoke,14
384,Machop,14
385,Magby,7
386,Magcargo,10
387,Magikarp,6
388,Magmar,7
389,Magmortar,7
390,Magnemite,11
391,Magneton,11
392,Magnezone,11
393,Makuhita,14
394,Malamar,5
395,Mamoswine,1
396,Manaphy,13
397,Mandibuzz,6
398,Manectric,11
399,Mankey,14
400,Mantine,13
401,Mantyke,13
402,Maractus,2
403,Mareep,11
404,Marill,13
405,Marowak,10
406,Marshtomp,1
407,Masquerain,9
408,Mawile,4
409,Medicham,3
410,Meditite,3
411,Meganium,2
412,Meloetta,3
413,Meowstic-F,3
414,Meowstic-M,3
415,Meowth,5
416,Metagross,10
417,Metang,10
418,Metapod,15
419,Mew,4
420,Mewtwo,3
421,Mienfoo,14
422,Mienshao,14
423,Mightyena,5
424,Milotic,13
425,Miltank,14
426,Mime Jr.,3
427,Minccino,4
428,Minun,11
429,Misdreavus,5
430,Mismagius,5
431,Moltres,6
432,Monferno,7
433,Mothim,9
434,Mr. Mime,3
435,Mudkip,1
436,Muk,0
437,Munchlax,4
438,Munna,3
439,Murkrow,6
440,Musharna,3
441,Natu,3
442,Nidoking,0
443,Nidoqueen,0
444,Nidoran-F,0
445,Nidoran-M,0
446,Nidorina,0
447,Nidorino,0
448,Nincada,9
449,Ninetales,7
450,Ninjask,9
451,Noctowl,6
452,Noibat,6
453,Noivern,6
454,Nosepass,10
455,Numel,7
456,Nuzleaf,2
457,Octillery,13
458,Oddish,2
459,Omanyte,1
460,Omastar,1
461,Onix,10
462,Oshawott,13
463,Pachirisu,11
464,Palkia,8
465,Palpitoad,13
466,Pancham,14
467,Pangoro,14
468,Panpour,13
469,Pansage,2
470,Pansear,7
471,Paras,2
472,Parasect,2
473,Patrat,5
474,Pawniard,5
475,Pelipper,6
476,Persian,5
477,Petilil,2
478,Phanpy,10
479,Phantump,2
480,Phione,13
481,Pichu,11
482,Pidgeot,6
483,Pidgeotto,6
484,Pidgey,6
485,Pidove,6
486,Pignite,7
487,Pikachu,11
488,Piloswine,1
489,Pineco,10
490,Pinsir,14
491,Piplup,13
492,Plusle,11
493,Politoed,13
494,Poliwag,13
495,Poliwhirl,13
496,Poliwrath,1
497,Ponyta,7
498,Poochyena,5
499,Porygon,3
500,Porygon2,3
501,Porygon-Z,3
502,Primeape,14
503,Prinplup,13
504,Probopass,10
505,Psyduck,13
506,Pumpkaboo,2
507,Pumpkaboo-Large,16
508,Pumpkaboo-Small,16
509,Pumpkaboo-Super,16
510,Pupitar,10
511,Purrloin,5
512,Purugly,5
513,Pyroar,7
514,Quagsire,1
515,Quilava,7
516,Quilladin,2
517,Qwilfish,13
518,Raichu,11
519,Raikou,11
520,Ralts,3
521,Rampardos,10
522,Rapidash,7
523,Raticate,4
524,Rattata,4
525,Regice,14
526,Regigigas,10
527,Regirock,10
528,Registeel,10
529,Relicanth,1
530,Remoraid,13
531,Reshiram,8
532,Reuniclus,3
533,Rhydon,10
534,Rhyhorn,10
535,Rhyperior,10
536,Riolu,14
537,Roggenrola,10
538,Roselia,2
539,Roserade,2
540,Rotom,11
541,Rotom-Fan,11
542,Rotom-Frost,11
543,Rotom-Heat,11
544,Rotom-Mow,11
545,Rotom-Wash,11
546,Rufflet,6
547,Sableye,5
548,Salamence,8
549,Samurott,13
550,Sandile,5
551,Sandshrew,10
552,Sandslash,10
553,Sawk,14
554,Sawsbuck,2
555,Scatterbug,15
556,Sceptile,2
557,Scizor,9
558,Scolipede,0
559,Scrafty,14
560,Scraggy,14
561,Scyther,9
562,Seadra,13
563,Seaking,13
564,Sealeo,1
565,Seedot,2
566,Seel,13
567,Seismitoad,1
568,Sentret,4
569,Serperior,2
570,Servine,2
571,Seviper,0
572,Sewaddle,9
573,Sharpedo,1
574,Shaymin,2
575,Shaymin-Sky,2
576,Shedinja,9
577,Shelgon,8
578,Shellder,13
579,Shellos,13
580,Shelmet,9
581,Shieldon,10
582,Shiftry,2
583,Shinx,11
584,Shroomish,2
585,Shuckle,10
586,Shuppet,5
587,Sigilyph,3
588,Silcoon,15
589,Simipour,13
590,Simisage,2
591,Simisear,7
592,Skarmory,6
593,Skiddo,2
594,Skiploom,2
595,Skitty,4
596,Skorupi,0
597,Skrelp,0
598,Skuntank,0
599,Slaking,14
600,Slakoth,4
601,Sliggoo,0
602,Slowbro,3
603,Slowking,3
604,Slowpoke,3
605,Slugma,7
606,Slurpuff,12
607,Smeargle,16
608,Smoochum,3
609,Sneasel,5
610,Snivy,2
611,Snorlax,4
612,Snorunt,1
613,Snover,2
614,Snubbull,4
615,Solosis,3
616,Solrock,3
617,Spearow,6
618,Spewpa,15
619,Spheal,1
620,Spinarak,15
621,Spinda,3
622,Spiritomb,5
623,Spoink,3
624,Spritzee,12
625,Squirtle,13
626,Stantler,3
627,Staraptor,6
628,Staravia,6
629,Starly,6
630,Starmie,13
631,Staryu,13
632,Steelix,10
633,Steelix-Mega,10
634,Stoutland,4
635,Stunfisk,11
636,Stunky,5
637,Sudowoodo,10
638,Suicune,13
639,Sunflora,2
640,Sunkern,2
641,Surskit,13
642,Swablu,6
643,Swadloon,9
644,Swalot,0
645,Swampert,1
646,Swanna,6
647,Swellow,6
648,Swinub,1
649,Swirlix,12
650,Swoobat,3
651,Sylveon,12
652,Taillow,6
653,Talonflame,7
654,Tangela,2
655,Tangrowth,2
656,Tauros,4
657,Teddiursa,14
658,Tentacool,0
659,Tentacruel,0
660,Tepig,7
661,Terrakion,10
662,Throh,14
663,Thundurus,11
664,Thundurus-Therian,11
665,Timburr,14
666,Tirtouga,1
667,Togekiss,12
668,Togepi,3
669,Togetic,12
670,Torchic,7
671,Torkoal,7
672,Tornadus,5
673,Tornadus-Therian,5
674,Torterra,2
675,Totodile,13
676,Toxicroak,14
677,Tranquill,6
678,Trapinch,10
679,Treecko,2
680,Trevenant,2
681,Tropius,2
682,Trubbish,0
683,Turtwig,2
684,Tympole,13
685,Tynamo,11
686,Typhlosion,7
687,Tyranitar,4
688,Tyrantrum,10
689,Tyrogue,14
690,Tyrunt,10
691,Umbreon,5
692,Unfezant,6
693,Unown,8
694,Ursaring,14
695,Uxie,3
696,Vanillish,1
697,Vanillite,1
698,Vanilluxe,1
699,Vaporeon,13
700,Venipede,0
701,Venomoth,9
702,Venonat,0
703,Venusaur,2
704,Vespiquen,9
705,Vibrava,9
706,Victini,7
707,Victreebel,2
708,Vigoroth,14
709,Vileplume,2
710,Virizion,2
711,Vivillon,9
712,Volbeat,9
713,Volcanion,7
714,Volcarona,9
715,Voltorb,11
716,Vullaby,6
717,Vulpix,7
718,Wailmer,13
719,Wailord,13
720,Walrein,1
721,Wartortle,13
722,Watchog,4
723,Weavile,5
724,Weedle,15
725,Weepinbell,2
726,Weezing,0
727,Whimsicott,2
728,Whirlipede,0
729,Whiscash,13
730,Whismur,4
731,Wigglytuff,4
732,Wingull,6
733,Wobbuffet,12
734,Woobat,3
735,Wooper,1
736,Wormadam,2
737,Wormadam-Sandy,10
738,Wormadam-Trash,9
739,Wurmple,15
740,Wynaut,12
741,Xatu,3
742,Yamask,3
743,Yanma,9
744,Yanmega,9
745,Yveltal,6
746,Zangoose,14
747,Zapdos,6
748,Zebstrika,11
749,Zekrom,8
750,Zigzagoon,4
751,Zoroark,5
752,Zorua,5
753,Zubat,6
754,Zweilous,8
755,Zygarde,8
